Key,Translation
action,Aktion
add,Hinzufügen
alerts,Warnungen
analog_input,analoger Eingang
analog_inputs,analoge Eingänge
apply,Übernehmen
are_you_sure,Bist du sicher?
ato,ATO
cancel,Abbrechen
capabilities,Funktionen
charts,Diagramme
clear,Löschen
columns,Spalten
configure,Konfigurieren
delete,Löschen
devmode_warning,
disabled,aus
documentation,Dokumentation (engl.)
done,Fertig
doser,Dosierpumpe
driver,Treiber
edit,Ändern
enabled,ein
end_time,Ende
equipment,Gerät
errors,Fehler
full_moon,Vollmond
health,Auslastung
height,Höhe
in-use,in Benutzung
inlet,Eingang
inlets,digitale Eingänge
install,Installieren
jack,analoger Ausgang (PWM)
jacks,analoge Ausgänge (PWM)
journal,Notizen
light,Lampe
lights,Beleuchtung
loading,Lade ...
maximum,Maximum
minimum,Minimum
name,Name
no,Nein
none,-keine-
off,Aus
ok,Ok
on,Ein
one_shot,nur einmal ausführen
optional,optional
outlet,Ausgang
outlets,digitale Ausgänge
pin,Pin
pins,Pins
profile,Profil
reset,Verlauf löschen
reverse,Invers
rows,Zeilen
running,Version
save,Speichern
save_successful,Speichern erfolgreich
schedule,Zeitplan
sec,s
second_s,Sekunden
select,auswählen
select_file,-Datei wählen-
since,seit
start_time,Beginn
status,Status
stayoffonboot,Bei Neustart ausschalten
update,Übernehmen
upgrade_reef_pi,Aktualisiere reef-pi auf Version
width,Breite
yes,Ja
ato:alert_after,Alarm nach Laufzeit von
ato:ato_usage,ATO Nutzung
ato:chk_freq,Prüfintervall
ato:control,Funktion
ato:control_target,Steuerung durch
ato:controlequipment,Gerät schalten
ato:controlmacro,Makro ausführen
ato:controlnothing,-keine Steuerung-
ato:disable_on_alert,ATO nach Alarm ausschalten
ato:reset_usage,Verlauf löschen
ato:title_delete,{{name}} löschen?
ato:total_seconds_pump_on,gesamte Laufzeit der Pumpe
ato:warn_delete,Wollen Sie ATO {{name}} wirklich löschen?
ato:warn_reset,Wollen Sie den Verlauf von {{name}} wirklich löschen?
camera:capture_flags,Aufnahmeoptionen
camera:enable,Aktiv
camera:take_photo,Aufnahme!
camera:target_dir,Zielverzeichnis
camera:tick_interval,Aufnahmeintervall (min)
camera:tick_must_be_positive,Das Intervall muss eine Zahl größer gleich 1 sein!
camera:to_gdrive,nach Google Drive kopieren
capabilities:ato,ATO/Pegel
capabilities:camera,Kamera
capabilities:configuration,Konfiguration
capabilities:dashboard,Übersicht
capabilities:dev_mode,Entwickler-Modus
capabilities:doser,Dosierpumpe
capabilities:dosing_pumps,Dosierer
capabilities:equipment,Geräte
capabilities:health_check,Auslastung
capabilities:journal,Notizen
capabilities:lighting,Beleuchtung
capabilities:lights,Beleuchtung
capabilities:log,Protokoll
capabilities:macro,Makro
capabilities:macros,Makros
capabilities:manager,Instanzen
capabilities:ph,pH
capabilities:phprobes,Sonden (pH)
capabilities:system,System
capabilities:temperature,Temperaturen
capabilities:timers,Schaltuhren
collapsible:delete,Löschen
collapsible:edit,Ändern
color_picker:choose,Auswählen
configuration:about:current_time,aktuelle Uhrzeit
configuration:about:modifications,Änderungen
configuration:about:status,Status
configuration:about:uptime,Letzter Neustart
configuration:about:version,Version
configuration:about:website,Web Site
configuration:admin:db_export,DB Exportieren
configuration:admin:db_import,DB Importieren
configuration:admin:poweroff,Ausschalten
configuration:admin:reboot,Neustart
configuration:admin:reload,Neu laden
configuration:admin:sign_out,Abmelden
configuration:authentication:credentials,Benutzer
configuration:authentication:error_pass,falsches Passwort
configuration:authentication:error_user,falscher Benutzername
configuration:connectors:title_delete,{{name}} löschen?
configuration:connectors:warn_delete,Wollen Sie den Anschluss {{name}} wirklich löschen?
