Key,Translation
language:fr,Français
language:en,English
language:de,Deutsch
language:es,Español
language:it,Italiano
language:hi,हिन्दी
language:fa,فارسی
loading,
are_you_sure,
clear,
name,
update,
add,
save,
configure,
language:language,
configuration:authentication:credentials,
configuration:authentication:error_user,
configuration:authentication:error_pass,
configuration:tab:settings,
configuration:tab:connectors,
configuration:tab:authentication,
configuration:tab:drivers,
configuration:tab:errors,
configuration:tab:telemetry,
configuration:tab:admin,
configuration:tab:about,
configuration:admin:sign_out,
configuration:admin:reload,
configuration:admin:reboot,
configuration:admin:poweroff,
configuration:about:version,
configuration:about:website,
configuration:about:status,
configuration:about:current_time,
configuration:about:uptime,
signin:username,
signin:password,
signin:signin,
signin:invalidcredentials,
capabilities:dashboard,
capabilities:equipment,
capabilities:timers,
capabilities:lights,
capabilities:lighting,
capabilities:temperature,
capabilities:ato,
capabilities:ph,
capabilities:dosing_pumps,
capabilities:doser,
capabilities:macros,
capabilities:macro,
capabilities:camera,
capabilities:configuration,
capabilities:log,
capabilities:dev_mode,
capabilities:health_check,
log:time,
log:emitter,
log:type,
log:content,
dashboard:back_to_dashboard,
configuration:settings:interface,
configuration:settings:name,
configuration:settings:address,
configuration:settings:rpi_pwm_freq,
configuration:settings:notification,
configuration:settings:display,
configuration:settings:use_https,
configuration:settings:enable_profiling,
configuration:settings:capabilities,
configuration:settings:alert_health_check,
configuration:settings:max_memory,
configuration:settings:max_cpu,
configuration:settings:name_required,
configuration:settings:network_interface_required,
configuration:settings:network_address_required,
configuration:settings:capabilities_required,
ok,
cancel,
documentation,
errors,
since,
running,
health_chart:cpu_memory,
fatal_error:fatal_error,
fatal_error:connection_lost,
fatal_error:troubleshoot,
fatal_error:message,
cron:day_of_month,
cron:hour,
cron:minute,
cron:second,
color_picker:choose,
collapsible:edit,
collapsible:delete,
timers:equipment:equipment,
timers:equipment:action,
timers:equipment:revert,
timers:equipment:on,
timers:equipment:off,
select,
enabled,
disabled,
edit,
inlet,
delete,
none,
ato:name_required,
ato:status_required,
ato:inlet_required,
ato:chk_freq,
ato:chk_freq_required,
ato:chk_freq_number,
ato:chk_freq_number_value,
ato:threshold_required,
ato:threshold_value,
ato:warning_delete,
ato:ato_usage,
ato:ato_status,
ato:control_pump,
ato:alert_after,
ato:disable_on_alert,
ato:total_seconds_pump_on,
ato:validation_error,
timers:name_required,
timers:timer_status_required,
timers:day_required,
timers:hour_required,
timers:minute_required,
timers:second_required,
timers:type_required,
timers:equipment_required,
timers:on_required,
timers:duration_required,
timers:subject_required,
timers:message_required,
alerts,
unit,
timers:validation_error,
timers:turn_on,
timers:turn_off,
timers:and_then,
timers:turn_back_on,
timers:turn_back_off,
timers:stay_on,
timers:stay_off,
second_s,
sec,
timers:sec,
timers:after,
timers:subject,
timers:message,
timers:timer_status,
timers:function,
timers:equipment,
timers:reminder,
temperature:temperature,
temperature:heater_cooler,
temperature:chart_minimum,
temperature:chart_maximum,
temperature:validation_error,
temperature:sensor,
temperature:sensor_status,
temperature:celcius,
temperature:fahrenheit,
capabilities:manager,
configuration:settings:enable_prometheus,
