Key,Translation
action,
add,Adicionar
alerts,Alertas
analog_input,Entrada Analogica
analog_inputs,
apply,
are_you_sure,Como estas?
ato,
cancel,cancelar
capabilities,
charts,
clear,Limpar
columns,
configure,Configurar
delete,Apagar
disabled,desativar
documentation,Documentação
done,Feito
doser,
driver,
edit,Editar
enabled,activar
end_time,
equipment,
errors,Erros
full_moon,
health,
height,
in-use,
inlet,Inlet
inlets,
install,
jack,
jacks,
journal,
light,
lights,
loading,Carregar
maximum,
minimum,
name,Nome
no,
none,nenhum
off,
ok,Ok
on,
one_shot,
optional,
outlet,
outlets,
pin,
pins,
profile,
reset,
reverse,
rows,
running,Correr
save,Salvar
schedule,
sec,sec
second_s,segundos
select,Selecionar
select_file,
since,Desde
start_time,
status,Estado
stayoffonboot,
update,Atualizar
upgrade_reef_pi,
width,
yes,
ato:alert_after,Alertar após
ato:ato_usage,Utilização do ATO
ato:chk_freq,Verificar a frequência
ato:control,
ato:control_target,
ato:controlequipment,
ato:controlmacro,
ato:controlnothing,
ato:disable_on_alert,Desativar alerta
ato:reset_usage,
ato:title_delete,
ato:total_seconds_pump_on,Número de segundos para ligar a a bomba
ato:warn_delete,
ato:warn_reset,
camera:capture_flags,
camera:enable,
camera:take_photo,
camera:target_dir,
camera:tick_interval,
camera:to_gdrive,
capabilities:ato,ATO
capabilities:camera,Camera
capabilities:configuration,Configuração
capabilities:dashboard,Painel Inicial
capabilities:dev_mode,Dev Mode
capabilities:doser,Dose
capabilities:dosing_pumps,Bombas Doseadoras
capabilities:equipment,Equipamento
capabilities:health_check,Verificação de Estado
capabilities:journal,
capabilities:lighting,Iluminação
capabilities:lights,Luzes
capabilities:log,Log
capabilities:macro,Macro
capabilities:macros,Macros
capabilities:manager,Instancias
capabilities:ph,pH
capabilities:temperature,Temperatura
capabilities:timers,Timers
collapsible:delete,Apagar
collapsible:edit,Editar
color_picker:choose,Escolher
configuration:about:current_time,Hora Atual
configuration:about:modifications,
configuration:about:status,Estado
configuration:about:uptime,Uptime
configuration:about:version,Versão
configuration:about:website,Site
configuration:admin:db_export,
configuration:admin:db_import,
configuration:admin:poweroff,Desligar
configuration:admin:reboot,Reninciar
configuration:admin:reload,Recarregar
configuration:admin:sign_out,Desligar o Login
configuration:authentication:credentials,Credenciais
configuration:authentication:error_pass,Tens que inserir uma password
configuration:authentication:error_user,Tens que inserir um nome de utilizador
configuration:connectors:title_delete,
configuration:connectors:warn_delete,
configuration:drivers:title_delete,
configuration:drivers:type,
configuration:drivers:warn_delete,
configuration:settings:address,Endereço
configuration:settings:alert_health_check,Avisos de Estado Geral
configuration:settings:capabilities,Capacidades
configuration:settings:capabilities_required,Capabilities são requeridads
configuration:settings:cors,Activar cors
configuration:settings:display,Ecrã
configuration:settings:interface,Interface
configuration:settings:max_cpu,Maximo de CPU
configuration:settings:max_memory,Maximo de Memoria
configuration:settings:name,Nome
configuration:settings:name_required,Nome é obrigatório
configuration:settings:network_address_required,Endereço de rede é obrigatório
configuration:settings:network_interface_required,Nome do interface de rede é obrigatório
configuration:settings:notification,Notificação
configuration:settings:pprof,Activar profiling
configuration:settings:prometheus,Activar prometheus
configuration:settings:rpi_pwm_freq,Rpi Pwm Frequencia
configuration:settings:use_https,Usar HTTPS
configuration:tab:about,Sobre
configuration:tab:admin,Admin
configuration:tab:authentication,Autenticação
configuration:tab:connectors,Ligações
configuration:tab:drivers,Controladores
configuration:tab:errors,Erros
configuration:tab:settings,Configurações
configuration:tab:telemetry,Telemetria
cron:day_of_month,dias do mês
cron:hour,Horas
cron:minute,Minutos
cron:month,
cron:second,Segundos
cron:week,
dashboard:back_to_dashboard,Voltas ao  Painel Inicial
dashboard:blank_panel,
doser:calibrate,
doser:calibration:run,
doser:doser_usage,
doser:duration,
doser:speed,
doser:title_delete,
doser:warn_delete,
doser:warn_reset,
equipment:chart:barchart,
equipment:chart:ctrlpanel,
equipment:title_delete,
equipment:warn_delete,
fatal_error:connection_lost,Ligação Perdida
fatal_error:fatal_error,Fatal Error
fatal_error:message,Algo correu mal pode favor renincie o servidor.
fatal_error:troubleshoot,Problemas
health_chart:cpu_memory,CPU/Memory
instances:warn_delete,
journal:add_entry,
journal:comment,
journal:description,
journal:timestamp,
journal:title_delete,
journal:unit,Unidades
journal:value,
journal:warn_delete,
language:de,Deutsch
language:en,English
language:es,Español
language:fa,فارسی
language:fr,Français
language:hi,हिन्दी
language:it,Italiano
language:language,Lingua
language:nl,Nederlands
