Key,Translation
action,
add,اضافه کردن
alerts,هشدار
analog_input,ورودی آنالوگ
analog_inputs,
are_you_sure,شما مطمئن هستید
ato,
cancel,لغو
capabilities,
charts,
clear,واضح
color,
columns,
configure,پیکربندی
delete,حذف
disabled,غیرفعال شده
documentation,مستندات
done,انجام شده
doser,
driver,
edit,ویرایش کنید
enabled,فعال شده
end_time,
equipment,
errors,خطاها
full_moon,
health,
height,
in-use,
inlet,ورودی
inlets,
install,
jack,
jacks,
light,
lights,
loading,بارگذاری
maximum,
minimum,
name,نام
no,
none,هیچ یک
off,
ok,خوب
on,
one_shot,
optional,
outlet,
outlets,
pin,
pins,
profile,
reverse,
rows,
running,دویدن
save,ذخیره
schedule,
sec,
second_s,
select,انتخاب کنید
select_file,
since,از آنجا که
start_time,
status,
stayoffonboot,
update,به روز رسانی
upgrade_reef_pi,
width,
yes,
ato:alert_after,
ato:ato_usage,
ato:chk_freq,
ato:chk_freq_number,
ato:chk_freq_number_value,
ato:chk_freq_required,
ato:control,
ato:control_target,
ato:controlequipment,
ato:controlmacro,
ato:controlnothing,
ato:disable_on_alert,
ato:inlet_required,
ato:name_required,
ato:status_required,
ato:threshold_required,
ato:threshold_value,
ato:total_seconds_pump_on,
ato:validation_error,
ato:warn_delete,
camera:capture_flags,
camera:enable,
camera:take_photo,
camera:target_dir,
camera:tick_interval,
camera:to_gdrive,
capabilities:ato,
capabilities:camera,
capabilities:configuration,
capabilities:dashboard,
capabilities:dev_mode,
capabilities:doser,
capabilities:dosing_pumps,
capabilities:equipment,
capabilities:health_check,
capabilities:journal,
capabilities:lighting,
capabilities:lights,
capabilities:log,
capabilities:macro,
capabilities:macros,
capabilities:manager,
capabilities:ph,
capabilities:temperature,
capabilities:timers,
collapsible:delete,
collapsible:edit,
color_picker:choose,
configuration:about:current_time,پیکربندی:در باره:
configuration:about:modifications,
configuration:about:status,پیکربندی:در باره: وضعیت
configuration:about:uptime,پیکربندی:در باره: زمان فعلی
configuration:about:version,پیکربندی:در باره: نسخه
configuration:about:website,پیکربندی:در باره: سایت اینترنتی
configuration:admin:db_export,
configuration:admin:db_import,
configuration:admin:poweroff,پیکربندی:مدیر: خاموش
configuration:admin:reboot,پیکربندی:مدیر: راه اندازی مجدد
configuration:admin:reload,پیکربندی:مدیر: بارگیری مجدد
configuration:admin:sign_out,پیکربندی:مدیر: خروج
configuration:authentication:credentials,پیکربندی: احراز هویت: اعتبارنامه
configuration:authentication:error_pass,پیکربندی: احراز هویت:خطای عبور
